"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,1.35457393483709,31,-1.90727930523283,22,4969,8,3,0.65545,0.00339374999999997,0.00517774048363715,0.7039,0.9825,0.00160998188770376,1,5000,5868046,448
1.66666666666667e-05,1865,0.691629072681704,30,-2.2603870230388,18,4970,8,11,0.77195,0.00194375000000002,0.0025179739620442,0.8246,0.99,0.00160965794768612,0.886446745940417,4756.87888377445,3111827,460
1.66666666666667e-05,1865,1.24086466165414,38,-2.15197296333933,25,4962,12,4,0.6520625,0.00403750000000003,0.00619189111473214,0.7204875,0.98,0.00241837968561064,0.827718043739235,4593.0496763923,1521114,452
1.66666666666667e-05,1865,0.638395989974937,26,-2.19091053590449,16,4974,8,3,0.8425,0.000693750000000048,0.000823442136498574,0.870025,0.9825,0.00160836349014877,0.935114503816794,4881.23434335566,5956338,447
1.66666666666667e-05,1865,0.671303258145363,37,-2.4060185032892,19,4963,10,6,0.7546125,0.00205624999999998,0.00272490847951761,0.811,0.9825,0.00201491033649003,0.887774575479047,4757.19165757906,6691127,457
1.66666666666667e-05,1865,0.750839598997494,27,-2.14652869053596,20,4973,8,7,0.6331375,0.00903750000000003,0.0142741505597126,0.7595375,0.99,0.00160868690931028,0.81471678813451,4528.28108298172,6374496,458
1.66666666666667e-05,1865,1.94474937343358,30,-1.52966774610149,27,4970,2,7,0.350525,0.014125,0.0402966978104272,0.425925,0.995,0.000402414486921529,1,5000,9526853,456
1.66666666666667e-05,1865,0.331015037593985,19,-2.19967501258416,19,4981,5,5,0.80635,0.000843750000000032,0.0010463818441124,0.8377625,0.98,0.00100381449508131,0.913252257424709,4751.99468918002,6204030,451
1.66666666666667e-05,1865,0.628370927318296,32,-2.3391956443583,24,4968,8,11,0.627825,0.00372499999999998,0.00593318201728185,0.683125,0.9875,0.00161030595813205,0.816622759108141,4459.21988048577,8386633,459
1.66666666666667e-05,1865,0.365764411027569,22,-2.26837460472093,18,4978,7,3,0.828725,0.000624999999999987,0.00075417056321456,0.851475,0.975,0.00140618722378465,0.927203216663371,4784.86343682025,2222195,445
1.66666666666667e-05,1865,0.470175438596491,18,-2.03773045769836,17,4982,7,4,0.714275,0.00446875000000002,0.00625634384515771,0.8111625,0.9775,0.0014050582095544,0.864076332874287,4718.56777493606,7159620,450
1.66666666666667e-05,1865,0.651303258145363,30,-2.28390180451846,22,4970,5,3,0.7075,0.00190000000000001,0.00268551236749118,0.7537,0.9775,0.00100603621730382,0.865709226834547,4625.01209915404,3292104,446
1.66666666666667e-05,1865,0.842055137844612,33,-2.24389750066253,19,4967,5,8,0.646,0.00600000000000001,0.00928792569659443,0.746,0.98,0.00100664384940608,0.830503940706717,4460.87377994676,8049724,462
