"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","790","0.394436090225564","19","-2.1452241958891","16","4981","3","4","0.8747875","0.000562500000000021","0.000643013303230809","0.9121875","0.9725","0.000602288697048785","0.959690456629475","4928.79275435295"
"1500","98","791","0.544035087719298","22","-2.13286150025921","18","4978","10","3","0.685975","0.013575","0.0197893509238675","0.874575","0.99","0.00200883889112093","0.836024805012147","4562.38675361207"
"1500","98","792","1.97624060150376","41","-1.88726992604713","20","4959","12","3","0.6652125","0.01315625","0.019777514703948","0.8469","0.9725","0.00241984271022384","0.845725227254658","4596.8352966899"
"1500","98","793","0.263421052631579","20","-2.28947248427239","12","4980","3","9","0.9122375","0.000212499999999949","0.000232943723536852","0.9265625","0.985","0.000602409638554217","0.969775642267602","4937.2897017605"
"1500","98","794","0.400062656641604","21","-2.21088635630194","13","4979","6","1","0.8980875","0.000331250000000005","0.000368839339151258","0.9170375","0.9825","0.00120506125728058","0.954964428519499","4919.16602404321"
"1500","98","795","0.955827067669173","25","-1.94508694482589","18","4975","7","5","0.6167375","0.01998125","0.0323983056000324","0.829175","0.9775","0.0014070351758794","0.809535051478786","4764.60196734212"
"1500","98","796","0.483057644110276","24","-2.24016271041009","13","4976","6","5","0.90275","0.000249999999999972","0.000276931597895289","0.917","0.9725","0.00120578778135048","0.977029390718999","4925.03262396311"
"1500","98","797","0.502205513784461","21","-2.13016306880245","14","4979","11","2","0.7314375","0.00893750000000004","0.0122190891224473","0.8886875","0.9875","0.00220927897168106","0.868849193600206","4723.90541026794"
"1500","98","798","0.480614035087719","36","-2.48438621540615","17","4964","15","9","0.856375","0.000750000000000028","0.000875784556999011","0.893375","0.9825","0.00302175664786463","0.942592304097211","4911.97631380797"
"1500","98","799","0.792694235588972","23","-1.98401907333076","15","4977","5","5","0.543675","0.05016875","0.0922770956913597","0.8562875","0.99","0.00100462125778581","0.765873929165068","4756.22838511699"
"1500","98","800","0.643734335839599","23","-2.09309682387802","15","4977","4","7","0.7220375","0.00378124999999996","0.00523691636514718","0.794075","0.985","0.000803697006228652","0.867555314449568","4654.74527582955"
"1500","98","801","1.54228070175439","22","-1.37404145938891","22","4978","3","3","0.578825","0.01256875","0.0217142486934739","0.7330875","0.9725","0.00060265166733628","0.776362865396337","4529.13089338245"
"1500","98","802","1.30682957393484","37","-2.09789364144105","20","4963","7","6","0.7504125","0.00218750000000001","0.00291506338180668","0.8066375","0.98","0.00141043723554302","0.887441933295057","4604.71983793517"
"1500","98","803","0.889586466165413","12","-1.15988492379503","15","4988","4","1","0.407675","0.16016875","0.392883424296314","0.8031875","0.9775","0.000801924619085806","0.697711325332809","4600.36535510525"
"1500","98","804","0.46062656641604","19","-2.08839566125497","17","4981","6","3","0.865325","0.000425000000000009","0.000491144945540703","0.883925","0.9725","0.00120457739409757","0.954343677947685","4867.75528052368"
"1500","98","805","0.481541353383459","18","-2.02753031775386","12","4982","5","3","0.804825","0.00380000000000003","0.00472152331252139","0.90775","0.985","0.00100361300682457","0.912949974813035","4697.08969788559"
"1500","98","806","0.639899749373434","35","-2.38848499947577","19","4965","14","4","0.8022375","0.00121249999999995","0.00151139780925219","0.8514625","0.9775","0.00281973816717019","0.918132336546659","4799.86993901239"
"1500","98","807","0.194122807017544","19","-2.31720528754502","12","4981","9","4","0.8981","0.000343749999999976","0.000382752477452373","0.91705","0","0.00180686609114636","0.945674487726855","4871.32340902507"
"1500","98","808","1.14229323308271","37","-2.17766647859113","22","4963","7","3","0.71805","0.00402499999999995","0.00560545922985857","0.811","0.975","0.00141043723554302","0.864003691253049","4742.27026563839"
"1500","98","809","0.649573934837093","34","-2.36581528276894","17","4966","13","5","0.8561","0.000475000000000003","0.000554841724097656","0.8746","0.97","0.00261780104712042","0.954207624070966","4894.1136884307"
"1500","98","810","0.706666666666667","33","-2.31652877298956","18","4967","11","3","0.82465","0.00109375","0.00132632025707877","0.8745625","0.9725","0.00221461646869338","0.934646065777966","4807.07087297591"
"1500","98","811","0.283145363408521","22","-2.33117777481204","15","4978","9","1","0.8981","0.000343749999999976","0.000382752477452373","0.926525","0.985","0.00180795500200884","0.962381007736919","4938.88689115356"
"1500","98","812","0.401390977443609","25","-2.32337104927841","15","4975","9","1","0.8933375","0.000312500000000049","0.000349811801250982","0.9122375","0.9875","0.00180904522613065","0.957456788536915","4877.42402493093"
"1500","98","813","0.765238095238095","32","-2.26376042696496","17","4968","10","2","0.8380625","0.000837500000000047","0.00099932880900893","0.8700875","0.9825","0.00201288244766506","0.932712779768396","4803.41815313912"
"1500","98","814","0.573320802005013","32","-2.36953687398739","23","4968","12","9","0.810675","0.000674999999999981","0.000832639467110718","0.833175","0.975","0.00241545893719807","0.919853668182717","4768.09563641157"
"1500","98","815","0.523872180451128","19","-2.03409546922572","16","4981","2","5","0.6932875","0.00438749999999999","0.00632854335322646","0.7638375","0.985","0.000401525798032524","0.850692964441172","4774.68272820036"
"1500","98","816","1.01889724310777","41","-2.31072835204857","21","4959","12","4","0.8468","0.000399999999999956","0.000472366556447751","0.8652","0.975","0.00241984271022384","0.944558697514996","4844.0764353042"
"1500","98","817","0.336441102756892","22","-2.29066482434981","18","4978","9","3","0.86535","0.00044999999999995","0.000520020800831976","0.89325","0.9825","0.00180795500200884","0.947363296463624","4832.41478423431"
"1500","98","818","1.03215538847118","26","-1.93110551908552","21","4974","7","6","0.366375","0.181475","0.495325827362675","0.727575","0.9875","0.00140731805388018","0.666536014907152","3580.7564608366"
"1500","98","819","0.541904761904762","22","-2.13448087518951","14","4978","4","1","0.8700875","0.000531249999999983","0.000610570775927689","0.8980625","0.9775","0.000803535556448373","0.954803593678274","4874.84662600826"
"1500","98","820","0.339586466165414","19","-2.19231592176823","17","4981","6","5","0.8202625","0.0012375","0.00150866338519681","0.8655125","0.985","0.00120457739409757","0.922101238682011","4795.44039085003"
"1500","98","821","0.722355889724311","28","-2.19218664973553","19","4972","9","6","0.6216","0.01709375","0.0274995978120978","0.8198625","0.98","0.00181013676588898","0.810376324442821","4717.73061615951"
"1500","98","822","0.629298245614035","27","-2.22416685172281","20","4973","12","7","0.576025","0.03211875","0.055759298641552","0.8378375","0.98","0.00241303036396541","0.79175583276789","4525.84811968266"
"1500","98","823","0.783258145363409","29","-2.18148176328382","17","4971","4","2","0.7294","0.00264374999999994","0.00362455442829715","0.78055","0.975","0.000804667069000201","0.861077054907389","4584.37070067893"
"1500","98","824","0.288295739348371","25","-2.40053437182348","14","4975","8","12","0.8700625","0.000506250000000041","0.000581854751813854","0.893375","0.99","0.00160804020100503","0.94305076077228","4855.18103823041"
"1500","98","825","0.42749373433584","44","-2.60336381428732","17","4956","24","10","0.87465","0.000425000000000009","0.000485908649173965","0.9027","0.975","0.00484261501210654","0.959481906268539","4927.8446377958"
"1500","98","826","0.816265664160401","35","-2.29865589009264","19","4965","10","7","0.85605","0.000425000000000009","0.000496466327901418","0.87455","0.975","0.00201409869083585","0.949410058664557","4870.98762111924"
"1500","98","827","0.585651629072682","31","-2.34301453387513","24","4969","13","5","0.815275","0.000768749999999985","0.000942933366042114","0.8468625","0.98","0.00261622056751862","0.92032465159977","4797.94501931207"
"1500","98","828","0.248947368421053","27","-2.46712730830012","13","4973","13","9","0.9313375","0.00011249999999996","0.000120794019353843","0.9409875","0.9825","0.0026141162276292","0.982285662356546","4946.49613127694"
"1500","98","829","0.430087719298246","26","-2.32835369020981","18","4974","9","5","0.784625","0.00139999999999996","0.00178429185916834","0.82445","0.9825","0.00180940892641737","0.899160045697668","4657.82087033287"
"1500","98","830","0.571942355889724","23","-2.14566739953927","14","4977","7","1","0.8839875","0.000387499999999985","0.000438354614742839","0.9074875","0.96","0.00140646976090014","0.979268657528285","4946.82195115318"
"1500","98","831","0.276466165413534","15","-2.08647415820709","12","4985","6","2","0.9075875","0.000331250000000005","0.000364978583332191","0.9314","0.9825","0.00120361083249749","0.969738276990185","4897.92905177338"
"1500","98","832","0.618095238095238","31","-2.32462929093258","21","4969","11","5","0.8514375","0.000431249999999994","0.000506496366439104","0.8745","0.9775","0.00221372509559267","0.944566856843072","4863.08575644305"
"1500","98","833","0.959924812030075","30","-2.10393846136091","19","4970","8","5","0.677675","0.00527500000000003","0.00778396724093412","0.771975","0.98","0.00160965794768612","0.841269116342189","4683.75014353567"
"1500","98","834","0.440914786967419","25","-2.29640449866266","17","4975","6","2","0.8792625","0.000356249999999947","0.000405169104789465","0.9027","0.98","0.00120603015075377","0.957148076621953","4877.29597056214"
"1500","98","835","0.362932330827068","21","-2.24023037554632","14","4979","11","3","0.8121875","0.00218750000000001","0.00269334359368989","0.8886875","0.98","0.00220927897168106","0.921088000417558","4905.49727934652"
"1500","98","836","0.649411027568922","24","-2.12265445236718","12","4976","9","5","0.8888875","0.000581249999999978","0.000653907271730087","0.9265875","0.9775","0.00180868167202572","0.964764902616565","4932.37197193259"
