"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","24","0.488558897243108","24","-2.23627674993696","17","4976","3","2","0.7462125","0.00230624999999995","0.00309060756821945","0.802275","0.98","0.000602893890675241","0.863164831149851","4628.68120726552"
"1500","98","25","0.497769423558897","21","-2.13366890167876","18","4979","6","2","0.70875","0.00314999999999999","0.00444444444444443","0.78015","0.98","0.00120506125728058","0.865311341928076","4717.99692703168"
"1500","98","26","0.389937343358396","23","-2.27894284741917","17","4977","8","5","0.8653125","0.000412500000000038","0.000476706392199394","0.8885625","0.9725","0.0016073940124573","0.95681498953171","4895.64794079453"
"1500","98","27","0.927130325814536","34","-2.22077968320643","20","4966","6","3","0.7208125","0.00255625000000004","0.00354634527009456","0.7886125","0.98","0.00120821586790173","0.861161856046767","4593.92761887364"
"1500","98","28","0.975075187969925","38","-2.27781199720605","23","4962","14","4","0.724975","0.002475","0.0034139108245112","0.784475","0.9775","0.00282144296654575","0.868915994491442","4782.72067020788"
"1500","98","29","2.61015037593985","34","-1.34132660635225","20","4966","7","1","0.5176625","0.0346375","0.066911356337382","0.7713375","0.9675","0.00140958517921869","0.751891124767375","4067.7296595306"
"1500","98","30","0.641478696741855","34","-2.37004540590395","18","4966","8","6","0.8111125","0.00111249999999996","0.00137157299388181","0.8516125","0.9725","0.00161095449053564","0.925416743964169","4828.70603318051"
"1500","98","31","1.05598997493734","38","-2.23950258458571","17","4962","14","3","0.811275","0.00127500000000003","0.00157160025885184","0.856275","0.9675","0.00282144296654575","0.931745457953435","4865.08827703472"
"1500","98","32","0.502832080200501","24","-2.22619449713765","14","4976","9","1","0.87025","0.000693750000000048","0.00079718471703539","0.90755","0.98","0.00180868167202572","0.952502740226525","4886.15349183151"
"1500","98","33","0.327794486215539","31","-2.4891378031022","17","4969","18","5","0.856225","0.000600000000000045","0.000700750386872662","0.8886","0.9875","0.00362245924733347","0.918614662982715","4753.86164621217"
"1500","98","34","0.34734335839599","24","-2.33602820454228","7","4976","1","15","0.9031375","0.000637499999999958","0.000705872583078388","0.9411375","0.99","0.00020096463022508","0.960260836210203","4864.46951157141"
"1500","98","35","0.400438596491228","23","-2.27125317340903","15","4977","7","3","0.8470625","0.00066250000000001","0.000782114660960685","0.8746625","0.9825","0.00140646976090014","0.937548683595576","4848.85204081633"
"1500","98","36","0.257368421052632","22","-2.35077221146871","18","4978","12","6","0.838175","0.000950000000000006","0.00113341485966535","0.883925","0.98","0.00241060666934512","0.935174069627851","4827.2895571272"
"1500","98","37","0.643796992481203","26","-2.18734691925854","18","4974","8","2","0.729025","0.00226875000000004","0.0031120331950208","0.7759125","0.9725","0.00160836349014877","0.880999390453979","4614.6969827472"
"1500","98","38","0.29249373433584","23","-2.35029714945127","12","4977","13","2","0.902825","0.00032500000000002","0.000359981170215734","0.921825","0.98","0.00261201527024312","0.96975311863876","4945.05777963359"
"1500","98","39","1.00634085213033","43","-2.3481408963854","17","4957","12","3","0.8022375","0.00121249999999995","0.00151139780925219","0.8425125","0.9825","0.00242081904377648","0.913518460819442","4819.99650127227"
"1500","98","40","0.396967418546366","32","-2.46673517231888","17","4968","14","5","0.8564375","0.000812499999999994","0.000948697365540385","0.9026875","0.985","0.00281803542673108","0.94077834179357","4823.4066790664"
