"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","817","0.416466165413534","26","-2.33734128021943","16","4974","8","2","0.838125","0.000900000000000012","0.00107382550335572","0.87015","0.9875","0.00160836349014877","0.92820150356615","4823.23261581957"
"1500","98","818","0.508233082706767","31","-2.38688631097018","22","4969","11","5","0.8241125","0.000556250000000036","0.000674968526748515","0.8468","0.9825","0.00221372509559267","0.925228488341902","4834.12954380225"
"1500","98","819","0.553984962406015","33","-2.39843727188188","22","4967","11","4","0.8062125","0.000706250000000019","0.000876009736887011","0.82865","0.985","0.00221461646869338","0.911064181552809","4769.94053293034"
"1500","98","820","0.631428571428571","28","-2.248476841274","23","4972","11","7","0.6343375","0.00628125000000002","0.00990206317614837","0.7334","0.975","0.00221238938053097","0.821989321732252","4611.77250016479"
"1500","98","821","1.21115288220551","34","-2.07236522367849","25","4966","9","3","0.7409125","0.00131250000000005","0.00177146424172902","0.7753125","0.97","0.0018123238018526","0.889721356455953","4672.72497269506"
"1500","98","822","0.500802005012531","19","-2.05390261278147","12","4981","2","1","0.8388375","0.00161250000000002","0.00192230318744693","0.9028875","0.975","0.000401525798032524","0.937690330235317","4920.38812207501"
"1500","98","823","0.79719298245614","33","-2.26796450870869","20","4967","11","1","0.8243125","0.000756250000000014","0.000917431192660567","0.856075","0.9775","0.00221461646869338","0.929897042429012","4847.11983080858"
"1500","98","824","0.292869674185464","22","-2.32378580454195","19","4978","9","4","0.8514875","0.000481249999999989","0.000565187392651083","0.87455","0.985","0.00180795500200884","0.937859237157877","4834.91592720321"
"1500","98","825","0.263170426065163","24","-2.39548605533507","16","4976","10","7","0.8700125","0.000456250000000047","0.000524417752618551","0.8979875","0.99","0.0020096463022508","0.942961258151132","4862.76247282956"
"1500","98","826","0.731904761904762","30","-2.23690147062252","18","4970","10","6","0.7255125","0.00301249999999997","0.00415223721162623","0.7935125","0.9775","0.00201207243460765","0.872614597678536","4721.7695717752"
"1500","98","827","0.795676691729323","42","-2.42373160805638","26","4958","12","6","0.73245","0.00142500000000001","0.00194552529182881","0.770925","0.9825","0.00242033077853973","0.867703951809731","4573.41649789687"
"1500","98","828","0.699248120300752","30","-2.25594420540685","19","4970","7","6","0.78875","0.00109375","0.00138668779714739","0.82425","0.9775","0.00140845070422535","0.907875926290248","4731.38932389009"
"1500","98","829","0.494273182957393","16","-1.91702864994873","12","4984","3","1","0.870125","0.000568750000000007","0.000653641718143953","0.8934375","0.965","0.000601926163723917","0.966650965614696","4937.25028598345"
"1500","98","830","0.676553884711779","23","-2.06906429854082","22","4977","7","6","0.7382125","0.00290625","0.00393687454493117","0.819675","0.985","0.00140646976090014","0.825699745547074","4634.00514718229"
"1500","98","831","0.461165413533835","35","-2.47952042558999","18","4965","19","1","0.8425625","0.000756250000000014","0.000897559528224926","0.8792625","0.98","0.00382678751258812","0.937522835221045","4825.05113132209"
"1500","98","832","0.821942355889724","31","-2.20911258682039","22","4969","10","5","0.763325","0.00206874999999995","0.00271018242557227","0.8287625","0.99","0.0020124773596297","0.848702211993351","4570.46945403401"
"1500","98","833","0.633032581453634","29","-2.27169974444799","22","4971","8","5","0.6921625","0.00326249999999995","0.00471348852328745","0.7627125","0.98","0.0016093341380004","0.855531342971971","4704.76286601597"
"1500","98","834","0.624862155388471","20","-1.9920116212004","13","4980","5","1","0.838125","0.000900000000000012","0.00107382550335572","0.87015","0.9775","0.00100401606425703","0.923070365269854","4831.67436553217"
"1500","98","835","0.870977443609023","29","-2.1288019277692","18","4971","7","2","0.7721","0.00209375000000001","0.00271176013469759","0.833525","0.965","0.00140816737075035","0.912172801291972","4847.37261287935"
"1500","98","836","4.21793233082707","31","-0.284662668924957","18","4969","4","5","0.455375","0.09836875","0.216017018940434","0.8288125","0.975","0.000804990943851882","0.729582756575044","4437.98888888889"
"1500","98","837","0.385363408521303","22","-2.25347635536214","12","4978","9","2","0.8655","0.000600000000000045","0.000693240901213223","0.88875","0.97","0.00180795500200884","0.959502117797491","4911.59737872612"
"1500","98","838","0.231992481203008","14","-2.08504480542234","14","4986","6","1","0.8205375","0.00151250000000003","0.00184330393187396","0.8748375","0.9875","0.00120336943441637","0.919732699351025","4834.01047355908"
"1500","98","839","0.345012531328321","16","-2.06437063290832","14","4984","5","1","0.8116375","0.00163749999999996","0.00201752629714615","0.8611375","0.98","0.00100321027287319","0.921720862257947","4875.83907693512"
"1500","98","840","0.263496240601504","24","-2.39525590733439","20","4976","13","7","0.8424375","0.000631249999999972","0.000749313747310598","0.87455","0.9925","0.00261254019292604","0.92598529374348","4828.58033737883"
"1500","98","841","0.632568922305764","26","-2.19475527312112","18","4974","10","1","0.806925","0.00141875000000002","0.00175821792607742","0.860775","0.9675","0.00201045436268597","0.92227309849915","4880.48882730182"
