"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,600,0.393959899749373,24,-2.30309933675173,22,4976,11,5,0.7844875,0.00126250000000006,0.00160933093261531,0.8287375,0.985,0.00221061093247588,0.902203536508183,4740.3070872244,4305573,30
1.66666666666667e-05,600,1.33774436090226,36,-2.05858133489326,21,4964,10,9,0.59425,0.02044375,0.0344026083298275,0.80635,0.985,0.00201450443190975,0.786065796101833,4402.61294739153,5623635,26
1.66666666666667e-05,600,0.524260651629073,27,-2.2912627448116,15,4973,6,3,0.860825,0.000568750000000007,0.000660703394998991,0.88865,0.9825,0.00120651518198271,0.944981045853456,4897.67040556681,3064785,27
1.66666666666667e-05,600,0.64390977443609,30,-2.28821309136526,26,4970,9,9,0.6057375,0.00511249999999996,0.00844012464144941,0.6909875,0.9825,0.00181086519114688,0.80111128420834,4522.45040764397,9015664,28
1.66666666666667e-05,600,1.0297619047619,28,-2.001881428039,25,4972,8,3,0.7037125,0.00230624999999995,0.00327726166580806,0.75815,0.965,0.00160901045856798,0.876434963999731,4548.49744970056,4873773,24
1.66666666666667e-05,600,1.34330827067669,30,-1.88037997018979,22,4970,9,11,0.3615625,0.16130625,0.446136560069144,0.71285,0.98,0.00181086519114688,0.668510882613915,3953.33850931677,2259465,25
1.66666666666667e-05,600,0.952694235588972,31,-2.13501771433581,25,4969,8,7,0.5914625,0.00623750000000001,0.0105458925967411,0.6756125,0.9775,0.00160998188770376,0.794852121450587,4453.56801101711,6794880,31
1.66666666666667e-05,600,1.03565162907268,32,-2.11472027350121,24,4968,9,6,0.6831875,0.00256250000000002,0.00375080047571131,0.7368125,0.9825,0.00181159420289855,0.824615724152256,4644.55694033339,1891355,23
1.66666666666667e-05,600,0.703872180451128,26,-2.14770891879294,24,4974,7,4,0.68545,0.00482499999999997,0.00703917134729006,0.78445,0.98,0.00140731805388018,0.850409729109035,4662.38133514275,7921026,34
1.66666666666667e-05,600,0.744072681704261,33,-2.29646172857118,22,4967,10,3,0.7844875,0.00126250000000006,0.00160933093261531,0.8287375,0.985,0.00201328769881216,0.902203536508183,4740.66151948438,6121189,21
1.66666666666667e-05,600,1.55814536340852,20,-1.22393287633509,17,4980,1,3,0.4839125,0.06465625,0.133611448350683,0.8109,0.9875,0.000200803212851406,0.732673649039388,4514.55492514297,9489229,18
1.66666666666667e-05,600,2.14,32,-1.50605158615245,24,4968,11,2,0.2365125,0.1069125,0.452037418741081,0.4543125,0.975,0.00221417069243156,0.489961110012524,3592.789532661,9290816,19
1.66666666666667e-05,600,2.1046365914787,37,-1.71108955331007,20,4963,3,4,0.43395,0.02754375,0.063472174213619,0.6252,0.98,0.000604473100947008,0.697165822850879,4158.77120413383,4522075,22
1.66666666666667e-05,600,1.0343984962406,17,-1.46103166378739,16,4983,1,4,0.4871625,0.0646625,0.132732917660945,0.8154125,0.9875,0.000200682319887618,0.733817387393176,4422.3578680203,8372525,15
1.66666666666667e-05,600,1.24691729323308,32,-1.99827984775187,27,4968,10,4,0.3651625,0.03165625,0.0866908568103242,0.5441875,0.9875,0.00201288244766506,0.611803636830945,3640.17244104607,2879678,17
1.66666666666667e-05,600,0.477042606516291,18,-2.03156763885648,20,4982,9,1,0.688375,0.00361875,0.00525694570546578,0.754575,0.985,0.00180650341228422,0.82465997597551,4494.40218416192,6314692,20
1.66666666666667e-05,600,0.646817042606516,26,-2.18535427050756,22,4974,7,4,0.667225,0.003,0.00449623440368692,0.707975,0.985,0.00140731805388018,0.836368685498766,4662.7652251973,6891568,16
1.66666666666667e-05,600,0.530977443609023,26,-2.26178599272367,23,4974,8,5,0.789125,0.00146875000000002,0.00186123871376527,0.8468125,0.98,0.00160836349014877,0.899042225585887,4684.25265540999,8418947,32
1.66666666666667e-05,600,1.03773182957393,32,-2.11357375765363,26,4968,7,5,0.6829875,0.00236250000000005,0.00345906769889646,0.7366125,0.9825,0.00140901771336554,0.824252219971958,4610.42809757491,192348,33
1.66666666666667e-05,600,0.550601503759399,24,-2.19245125949851,23,4976,6,6,0.6201625,0.00393750000000004,0.00634914236188102,0.6711875,0.985,0.00120578778135048,0.808830937342581,4666.49194662947,3778533,35
1.66666666666667e-05,600,0.949724310776942,34,-2.20897331786211,19,4966,5,12,0.738825,0.00351875000000001,0.00476262985145334,0.8288625,0.9725,0.00100684655658478,0.889652293748178,4649.06708981528,8062996,37
1.66666666666667e-05,600,0.862531328320802,31,-2.18611150459137,23,4969,10,4,0.651925,0.00390000000000001,0.00598228323810256,0.716325,0.98,0.0020124773596297,0.824690745863563,4550.12916253458,5438402,38
1.66666666666667e-05,600,1.67694235588972,39,-1.97134474298903,25,4961,13,3,0.31645,0.13369375,0.422479854637383,0.6178375,0.98,0.00262043942753477,0.615357012370165,3915.46600814239,9762146,40
1.66666666666667e-05,600,1.0503007518797,37,-2.22226757512721,27,4963,9,9,0.6830375,0.00241250000000004,0.00353201690975977,0.7366625,0.965,0.00181341930284102,0.863690195814548,4529.59884933719,9014795,36
1.66666666666667e-05,600,0.631215538847118,29,-2.27279096961222,21,4971,7,9,0.70955,0.00395000000000001,0.00556690860404483,0.79775,0.975,0.00140816737075035,0.86840682881814,4713.94742601015,412380,39
1.66666666666667e-05,600,0.532882205513785,31,-2.37291807116022,22,4969,9,4,0.8017875,0.000762499999999999,0.000951000109131159,0.8286375,0.9725,0.00181122962366673,0.921991360347706,4813.88225161,1873425,41
1.66666666666667e-05,600,0.980125313283208,33,-2.16982758595508,22,4967,8,4,0.7204625,0.00220624999999997,0.00306226902857535,0.767075,0.975,0.00161063015904973,0.875037901258981,4640.35055698372,4600295,42
1.66666666666667e-05,600,1.47528822055138,24,-1.5392735298573,25,4976,6,5,0.5414,0.02659375,0.0491203361654968,0.771,0.975,0.00120578778135048,0.759000725067563,4282.0157273746,9901668,44
1.66666666666667e-05,600,1.45461152882206,41,-2.11800033654946,25,4959,7,10,0.5459625,0.00573749999999995,0.0105089635277147,0.6084375,0.975,0.00141157491429724,0.741249752817876,4209.18228198537,4123944,45
1.66666666666667e-05,600,0.870213032581454,34,-2.25052150871606,25,4966,13,3,0.7198125,0.00155625000000004,0.00216202135972915,0.7537125,0.99,0.00261780104712042,0.859666283084005,4667.17963815369,7191288,43
1.66666666666667e-05,600,0.574899749373434,24,-2.17528752975499,20,4976,9,4,0.627625,0.0114,0.0181637124078868,0.784625,0.9875,0.00180868167202572,0.804446443487759,4591.02180170918,1467605,49
1.66666666666667e-05,600,0.452456140350877,26,-2.31359486024921,22,4974,9,6,0.68825,0.00349374999999996,0.00507628042135846,0.7585875,0.98,0.00180940892641737,0.849555039407067,4550.42831045462,3624867,46
1.66666666666667e-05,600,1.73022556390977,34,-1.80112658513597,18,4966,7,4,0.6587625,0.00670625000000002,0.0101800724843931,0.767775,0.9825,0.00140958517921869,0.822979955340915,4529.78651918783,4380613,47
1.66666666666667e-05,600,0.797869674185464,31,-2.22275416723469,25,4969,8,8,0.7130125,0.00320624999999997,0.00449676548447603,0.7972625,0.98,0.00160998188770376,0.856457800511509,4574.60953076883,9271106,51
1.66666666666667e-05,600,0.397631578947368,26,-2.34976846309381,21,4974,9,8,0.78015,0.00134374999999998,0.00172242517464587,0.8286875,0.99,0.00180940892641737,0.895767804628564,4753.05365042833,1972454,50
1.66666666666667e-05,600,0.680864661654135,20,-1.94592235874265,12,4980,5,7,0.7180625,0.0124625,0.0173557315693272,0.9028625,0.97,0.00100401606425703,0.878193345587256,4561.61114440981,7180724,48
1.66666666666667e-05,600,0.983270676691729,32,-2.14359037134998,19,4968,8,5,0.675425,0.00302500000000006,0.00447866158344754,0.732825,0.9875,0.00161030595813205,0.825123690805115,4684.99134485639,7679561,53
1.66666666666667e-05,600,0.945689223057644,25,-1.95200385650888,24,4975,10,5,0.613275,0.00487499999999996,0.00794912559618436,0.683475,0.9775,0.00201005025125628,0.811200734474392,4602.76350580366,210993,52
1.66666666666667e-05,600,0.897080200501253,30,-2.1405843995587,25,4970,10,6,0.6749375,0.00253749999999997,0.00375960737105283,0.7282375,0.9825,0.00201207243460765,0.819721400010386,4585.44279352963,4206205,59
1.66666666666667e-05,600,0.761115288220551,24,-2.04374909551636,17,4976,7,7,0.649425,0.00942500000000002,0.014512838280017,0.789425,0.975,0.00140675241157556,0.82770417243425,4753.34683277305,7543418,54
1.66666666666667e-05,600,0.633897243107769,29,-2.27118047178364,19,4971,10,4,0.755675,0.00311874999999995,0.00412710490620961,0.8294125,0.9775,0.0020116676725005,0.892032264410781,4782.18565151813,7448549,60
1.66666666666667e-05,600,1.15105263157895,26,-1.8526563433622,23,4974,7,2,0.63325,0.00519375,0.00820173707066719,0.704575,0.9825,0.00140731805388018,0.818312821311731,4413.5273861453,8464447,57
